source,target
36953,119494
91312,47620
189821,119420
32043,119385
189821,60606
18939,141702
78631,78623
93792,21974
177037,27473
177310,34689
91312,119409
189821,54560
86120,56304
129914,128232
177310,94018
174984,14821
172289,14814
86109,171903
145577,172239
155085,95271
32043,15741
91312,80660
36953,24195
19010,14869
91312,91116
172289,21974
177037,34746
32043,177288
189821,22100
189821,59146
91312,128328
32043,3340
91312,67846
189821,171937
32043,177289
18939,86934
156552,172030
102581,141702
86120,90691
189821,78163
91312,174318
177633,177160
18939,61087
177310,4828
86109,90532
189821,14770
86120,95610
102581,155312
36953,15712
36953,18891
32043,177287
177310,91709
156552,177372
32043,3351
177037,34749
36953,155312
18939,92381
155085,6051
177449,145094
129914,18912
32043,32322
18939,119494
193579,92549
91312,125377
18939,59066
18939,90855
155085,119418
39717,91555
155085,155407
24509,25837
133143,90532
18515,18525
145577,119494
155085,118181
155085,30866
36812,144825
177310,27446
32043,104950
91312,119446
102581,102578
129914,89613
32043,118181
173200,81760
36953,59066
13386,14711
91312,29120
189821,16858
102581,92175
189821,93406
18939,24040
18939,115615
189821,190630
129914,22100
120850,161503
91312,30746
32043,24195
86120,86863
4820,93700
32043,41049
193579,67271
133537,42297
189821,89612
86735,113342
86735,79259
91312,67271
91312,55685
93792,22100
32043,5926
91312,78004
155085,16100
32043,93409
32043,119418
11668,90705
173200,91108
189821,119446
19010,14943
4820,22100
129914,89612
177633,54560
86735,54049
155085,128328
26377,102589
189821,128319
32043,98117
155085,18230
18939,123912
91312,16858
173200,81757
153873,95056
155085,3351
32043,132457
189821,119409
91312,119436
91312,96398
32043,177290
36953,36951
177633,189821
167771,50459
177449,175625
91312,75922
18939,29022
32043,171335
36953,92808
177633,171937
155085,119425
86109,63404
129914,16599
86120,85491
32043,16099
91312,24066
32043,44559
91271,22100
18939,15712
32043,6441
102581,85725
91312,123912
18939,155312
102581,30866
91312,59146
189821,78164
91312,119383
93792,78069
177310,126842
102581,125377
193579,193571
91312,175167
36953,92197
86109,177261
167771,5403
56720,56729
32043,3336
18939,24195
4820,116576
18939,86932
36812,14857
155085,123912
189821,115615
189821,3870
96116,39623
36953,61078
173200,31897
155085,177029
133143,91221
18939,112946
177037,94046
189821,22026
173200,81756
172289,22100
129914,155312
129914,177033
189821,128329
129914,90560
32043,171329
173200,55890
26377,27491
36953,83386
93788,14814
91271,16599
32043,177291
26377,25055
177633,128328
129914,4850
36953,118023
177037,16599
133537,68231
189821,92692
32043,59198
19010,16599
189821,22062
32043,91161
18939,61078
155085,119430
173200,65760
91771,93283
102581,14782
102581,71618
91312,119396
189821,21831
177037,171901
24509,65760
4820,155312
19010,90704
173200,95271
189821,80824
171980,95442
174984,14823
173200,135701
173200,91398
193579,103725
177633,90627
36812,18923
189821,191055
189821,190621
155085,51839
177037,22100
78631,78626
129914,14757
189821,128326
173200,91140
177037,50402
189821,16599
91271,95290
177037,89613
177633,92752
129914,171923
173200,86192
177310,34507
18515,62666
4820,119494
91312,90560
133537,58785
19010,22100
177310,92106
4820,117134
133537,141702
4820,93659
189821,190653
91312,119449
189821,119380
171980,90643
26377,119494
155085,24630
36953,177014
93792,4826
177633,3892
32043,119425
155085,119422
18939,24196
18939,16867
177633,141702
189821,85725
189821,86072
189821,80660
133537,133752
91312,46782
189821,3892
102581,29422
32043,123912
18939,133752
177310,21362
36953,24200
102581,27469
189821,18994
32043,16103
177633,89613
177037,50565
91312,92948
56720,91044
36953,16702
145577,155312
91312,115349
93792,71358
91312,171918
26377,141702
129914,130068
155085,119428
91312,46763
189821,26448
129914,119494
177310,45725
91312,177033
32043,126974
36953,14843
24509,150155
4820,59305
86735,79359
120850,147297
36812,154853
4820,27049
91312,177160
71409,28995
102581,59132
189821,30866
